Processes: 667 total, 4 running, 663 sleeping, 5131 threads                                                                                                                                                            16:33:43
Load Avg: 3.91, 3.52, 3.52  CPU usage: 7.64% user, 6.55% sys, 85.80% idle   SharedLibs: 282M resident, 48M data, 17M linkedit. MemRegions: 1340858 total, 6043M resident, 121M private, 1528M shared.
PhysMem: 16G used (3213M wired), 257M unused. VM: 96T vsize, 2317M framework vsize, 532330633(86229) swapins, 538058078(82654) swapouts.   Networks: packets: 55559043/62G in, 43626001/8982M out.
Disks: 49411550/2576G read, 21039471/2239G written.

PID    	COMMAND      	%CPU 	TIME     	#TH    	#WQ  	#PORTS 	MEM    	PURG   	CMPRS  	PGRP  	PPID  	STATE    	BOOSTS           	%CPU_ME 	%CPU_OTHRS 	UID        	FAULTS      	COW      	MSGSENT    	MSGRECV    	SYSBSD     	SYSMACH    	CSW
38361	com.apple.We 	24.7	39:39.13 	6	1	134	723M   	0B     	354M   	38361	1	sleeping 	 0[7691]         	0.00000	0.00000	1124708317	1662181	3567	144880	92636	482548	835060005	2301412
22583	zoom.us      	22.9	05:56:30 	62	6	16744	350M   	84K+   	222M   	22583	1	sleeping 	*0[19423]        	0.45618	0.00000	1124708317	78912405	7544	96373684	30888853	269613676	179422112	252713765
348 mds_stores   	22.1	29:56.20 	12/1   	10/1 	128	43M    	0B     	22M-   	348	1	running  	*0[1]            	0.00000	22.09173	0	54151622	865	2679648	900326	29652619	4325855	9101308
0	kernel_task  	18.6	05:11:16 	322/12 	0	0	61M+   	0B     	0B     	0	0	running  	 0[0]            	0.00000	0.00000	0	2358671	13913	896715592	829670085	0	0	2939959212
18800	top          	12.1	00:04.31 	1/1    	0	26	9932K+ 	0B     	0B     	18800	18738	running  	*0[1]            	0.00000	0.00000	0	12224	107	3088723	1503888	38039	1603665	2329
1589	com.docker.h 	10.1	06:42:09 	16	1	40	2680M  	0B     	597M   	1194	1565	sleeping 	*0[1]            	0.00000	0.00000	1124708317	1060151063	473	59911	895	460293970	1844	272135185
79156	Google Chrom 	8.1	23:13.88 	12/1   	1	1017	1278M- 	0B     	357M-  	79111	79111	running  	*1[5]            	0.00000	0.00000	1124708317	7872174	3016	24238040	9585303	8676173	31971739	11658690
1	launchd      	7.1	19:34.24 	4	3	6411	39M+   	0B     	27M    	1	0	sleeping 	 0[0]            	0.00000	0.04303	0	1530268	89492	17003105	4334962	18625162	22357348	5763720
656	iTerm2       	6.5	08:25.95 	11	8	349	90M+   	4388K  	23M-   	656	1	sleeping 	*0[9539]         	0.24321	0.48623	1124708317	2016065	1988	1828774	909779	6189462	9339466	3158668
159	WindowServer 	6.0	05:56:28 	15	5	5094	740M   	640K   	124M-  	159	1	sleeping 	*0[1]            	0.50872	0.41335	88	46263042	986571	519325572	209145586	388680495	746207172	172825916
86708	Google Chrom 	3.9	00:49.28 	20	2	281	120M+  	0B     	93M-   	79111	79111	sleeping 	*0[5]            	0.00000	0.00000	1124708317	1365413	4640	147168	64926	377775	466508	369491
1442	com.paloalto 	2.5	22:35.33 	9	7	76	48M    	0B     	46M    	1442	1	sleeping 	*0[1]            	0.00000	0.00000	0	284246	186	270502	8363	68308570	293863	26077059
79111	Google Chrom 	2.0	40:50.65 	31	1	2272	450M+  	0B     	262M-  	79111	1	sleeping 	*0[6693]         	0.00000	0.00000	1124708317	17834549	835992	32730455	20587151	44206761	128014676	23109434
